,country,date,vaccine,total_vaccinations
20171,Ukraine,2021-07-21,Moderna,13062
20172,Ukraine,2021-07-21,Oxford/AstraZeneca,1401969
20173,Ukraine,2021-07-21,Pfizer/BioNTech,1599785
20174,Ukraine,2021-07-21,Sinovac,1384462
20175,Ukraine,2021-07-22,Johnson&Johnson,478
20176,Ukraine,2021-07-22,Moderna,39960
20177,Ukraine,2021-07-22,Oxford/AstraZeneca,1432043
20178,Ukraine,2021-07-22,Pfizer/BioNTech,1641800
20179,Ukraine,2021-07-22,Sinovac,1424916
20180,Ukraine,2021-07-23,Johnson&Johnson,478
20181,Ukraine,2021-07-23,Moderna,77752
20182,Ukraine,2021-07-23,Oxford/AstraZeneca,1459287
20183,Ukraine,2021-07-23,Pfizer/BioNTech,1689210
20184,Ukraine,2021-07-23,Sinovac,1465145
20185,Ukraine,2021-07-24,Johnson&Johnson,478
20186,Ukraine,2021-07-24,Moderna,99462
20187,Ukraine,2021-07-24,Oxford/AstraZeneca,1463592
20188,Ukraine,2021-07-24,Pfizer/BioNTech,1715752
20189,Ukraine,2021-07-24,Sinovac,1484159
20190,Ukraine,2021-07-25,Johnson&Johnson,478
20191,Ukraine,2021-07-25,Moderna,116720
20192,Ukraine,2021-07-25,Oxford/AstraZeneca,1464572
20193,Ukraine,2021-07-25,Pfizer/BioNTech,1731433
20194,Ukraine,2021-07-25,Sinovac,1499297
20195,Ukraine,2021-07-26,Johnson&Johnson,478
20196,Ukraine,2021-07-26,Moderna,156971
20197,Ukraine,2021-07-26,Oxford/AstraZeneca,1483311
20198,Ukraine,2021-07-26,Pfizer/BioNTech,1770234
20199,Ukraine,2021-07-26,Sinovac,1527602
20200,Ukraine,2021-07-27,Johnson&Johnson,478
20201,Ukraine,2021-07-27,Moderna,205264
20202,Ukraine,2021-07-27,Oxford/AstraZeneca,1505280
20203,Ukraine,2021-07-27,Pfizer/BioNTech,1810880
20204,Ukraine,2021-07-27,Sinovac,1560022
20205,Ukraine,2021-07-28,Johnson&Johnson,497
20206,Ukraine,2021-07-28,Moderna,255290
20207,Ukraine,2021-07-28,Oxford/AstraZeneca,1528400
20208,Ukraine,2021-07-28,Pfizer/BioNTech,1848966
20209,Ukraine,2021-07-28,Sinovac,1592718
20210,Ukraine,2021-07-29,Johnson&Johnson,497
20211,Ukraine,2021-07-29,Moderna,306758
20212,Ukraine,2021-07-29,Oxford/AstraZeneca,1552611
20213,Ukraine,2021-07-29,Pfizer/BioNTech,1888177
20214,Ukraine,2021-07-29,Sinovac,1628081
20215,Ukraine,2021-07-30,Johnson&Johnson,497
20216,Ukraine,2021-07-30,Moderna,358445
20217,Ukraine,2021-07-30,Oxford/AstraZeneca,1570729
20218,Ukraine,2021-07-30,Pfizer/BioNTech,1935512
20219,Ukraine,2021-07-30,Sinovac,1661021
20220,Ukraine,2021-07-31,Johnson&Johnson,497
20221,Ukraine,2021-07-31,Moderna,384397
20222,Ukraine,2021-07-31,Oxford/AstraZeneca,1576178
20223,Ukraine,2021-07-31,Pfizer/BioNTech,1955134
20224,Ukraine,2021-07-31,Sinovac,1678497
20225,Ukraine,2021-08-01,Johnson&Johnson,497
20226,Ukraine,2021-08-01,Moderna,401037
20227,Ukraine,2021-08-01,Oxford/AstraZeneca,1576830
20228,Ukraine,2021-08-01,Pfizer/BioNTech,1965250
20229,Ukraine,2021-08-01,Sinovac,1689169
20230,Ukraine,2021-08-02,Johnson&Johnson,497
20231,Ukraine,2021-08-02,Moderna,441688
20232,Ukraine,2021-08-02,Oxford/AstraZeneca,1584341
20233,Ukraine,2021-08-02,Pfizer/BioNTech,2014405
20234,Ukraine,2021-08-02,Sinovac,1717013
20235,Ukraine,2021-08-03,Johnson&Johnson,497
20236,Ukraine,2021-08-03,Moderna,494610
20237,Ukraine,2021-08-03,Oxford/AstraZeneca,1593446
20238,Ukraine,2021-08-03,Pfizer/BioNTech,2071495
20239,Ukraine,2021-08-03,Sinovac,1751154
